tweet_text,created_at,place,context_annotations
"kemana kamu nak alirkan air dari kota kemuning &amp; alam impian jauh dari takungan air sri muda ?

langkap naik taraf sistem perparitan dan kekerapan monitoring activities keadaan perparitan di sri muda

#DaruratBanjir
#TamanSriMuda",2022-01-01 14:33:48+00:00,,"[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1277995430236680192', 'name': 'Outdoors'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1103294729079349250', 'name': 'Nature', 'description': 'Nature'}}]"
"#DaruratBanjir
#Johor https://t.co/Nxy7oMWwkr",2022-01-01 14:33:26+00:00,,"[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1277995430236680192', 'name': 'Outdoors'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1103294729079349250', 'name': 'Nature', 'description': 'Nature'}}]"
"menteri fed &amp; state &amp; exco ,
sementara rakyat di taman sri muda terajang kamu dr takhta yg kamu bersemayam sekarang - aku nak tahu apa PERMENANT engineering solution kau nak buat sekarang &amp; laporan setiap minggu keadaan maintenance pintu pintu air ni
#TamanSriMuda
#DaruratBanjir",2022-01-01 14:31:39+00:00,,"[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1277995430236680192', 'name': 'Outdoors'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1103294729079349250', 'name': 'Nature', 'description': 'Nature'}}]"
#DaruratBanjir #BenderaPutih #RakyatJagaRakyat https://t.co/vPNrLkZCvQ,2022-01-01 14:22:17+00:00,,"[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1277995430236680192', 'name': 'Outdoors'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1103294729079349250', 'name': 'Nature', 'description': 'Nature'}}]"
"Bantuan RM2500 untuk membeli barang2 keperluan

#DaruratBanjir
#KeluargaMalaysia https://t.co/1fMB2uzJ0j",2022-01-01 14:18:25+00:00,,"[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1277995430236680192', 'name': 'Outdoors'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1103294729079349250', 'name': 'Nature', 'description': 'Nature'}}]"
"Bantuan RM5K utk rumah yg rosak x banyak

#DaruratBanjir
#KeluargaMalaysia https://t.co/0bdogOLKCQ",2022-01-01 14:16:09+00:00,,"[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1277995430236680192', 'name': 'Outdoors'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1103294729079349250', 'name': 'Nature', 'description': 'Nature'}}]"
"Bantuan RM15K utk rumah yg rosak teruk

#DaruratBanjir
#KeluargaMalaysia https://t.co/WowLSVGmZ4",2022-01-01 14:12:44+00:00,,"[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1277995430236680192', 'name': 'Outdoors'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1103294729079349250', 'name': 'Nature', 'description': 'Nature'}}]"
#DaruratBanjir #BenderaPutih #RakyatJagaRakyat https://t.co/xdblxkPsae,2022-01-01 14:11:37+00:00,,"[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1277995430236680192', 'name': 'Outdoors'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1103294729079349250', 'name': 'Nature', 'description': 'Nature'}}]"
#DaruratBanjir korang boleh juga install apps InfoBencanaJKM https://t.co/KlEPi4ZC2H,2022-01-01 14:08:54+00:00,,"[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1277995430236680192', 'name': 'Outdoors'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1103294729079349250', 'name': 'Nature', 'description': 'Nature'}}]"
"kerajaan akan memberikan wang tunai Rm2500 kepada semua mangsa banjir yang terlibat untuk membeli keperluan sendiri...

#Banjir
#Banjir2021
#BanjirMalaysia
#DaruratBanjir
#PascaBanjir 
#DSIS
#IsmailSabriYaakob
#IsmailSabriPMKita
#KeluargaMalaysia
#AspirasiKeluargaMalaysia https://t.co/ud0KI36O39",2022-01-01 13:58:23+00:00,,"[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1277995430236680192', 'name': 'Outdoors'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1103294729079349250', 'name': 'Nature', 'description': 'Nature'}}]"
